,Пол,Семейное_положение,Возраст,Высшее_образование,Профессия,Опыт_работы,Уровень_расходов,Размер_семьи,Анонимная_категория,Целевая_категория
4498,0,1.0,28,0.0,9.0,9.0,1,3.0,6.0,1
4506,0,1.0,28,0.0,3.0,9.0,2,2.0,4.0,1
4604,0,1.0,28,0.0,5.0,9.0,3,1.0,7.0,1
4856,0,1.0,28,0.0,4.0,1.0,2,2.0,4.0,1
4901,1,1.0,28,0.0,1.0,1.0,2,2.0,3.0,1
5023,1,1.0,28,0.0,4.0,6.0,2,2.0,4.0,1
5220,0,1.0,28,1.0,1.0,8.0,3,4.0,6.0,1
5559,0,1.0,28,1.0,1.0,0.0,3,2.0,6.0,1
6163,0,1.0,28,1.0,1.0,0.0,3,2.0,7.0,1
6214,1,1.0,28,1.0,1.0,9.0,2,2.0,6.0,1
6791,1,1.0,28,0.0,5.0,0.0,2,2.0,6.0,1
7751,1,1.0,28,0.0,7.0,0.0,1,4.0,4.0,1
7844,1,1.0,28,1.0,2.0,8.0,1,2.0,6.0,1
7951,0,1.0,28,1.0,5.0,1.0,2,2.0,4.0,1
47,0,0.0,29,1.0,2.0,1.0,3,1.0,7.0,1
513,0,0.0,29,1.0,2.0,9.0,3,3.0,4.0,1
946,0,0.0,29,0.0,8.0,9.0,3,4.0,2.0,1
1255,0,0.0,29,0.0,4.0,0.0,3,5.0,4.0,1
1503,0,0.0,29,1.0,5.0,1.0,3,1.0,3.0,1
1600,0,0.0,29,0.0,3.0,0.0,3,1.0,4.0,1
1707,1,0.0,29,1.0,2.0,0.0,3,4.0,6.0,1
2071,1,0.0,29,0.0,1.0,1.0,3,3.0,2.0,1
2191,1,0.0,29,1.0,3.0,6.0,3,3.0,6.0,1
2233,1,0.0,29,1.0,1.0,0.0,3,1.0,6.0,1
2283,0,0.0,29,1.0,3.0,0.0,1,1.0,1.0,1
2438,0,0.0,29,0.0,4.0,9.0,3,4.0,4.0,1
2615,1,0.0,29,1.0,1.0,1.0,3,6.0,6.0,1
2692,0,0.0,29,1.0,2.0,0.0,3,4.0,6.0,1
2702,0,0.0,29,1.0,1.0,12.0,3,1.0,6.0,1
2771,1,0.0,29,1.0,5.0,3.0,3,3.0,4.0,1
2793,1,0.0,29,0.0,4.0,0.0,3,5.0,3.0,1
3039,0,0.0,29,0.0,1.0,0.0,3,3.0,4.0,1
4049,0,0.0,29,1.0,1.0,8.0,3,1.0,6.0,1
4151,1,0.0,29,0.0,3.0,1.0,3,4.0,4.0,1
4361,0,0.0,29,0.0,1.0,1.0,3,1.0,3.0,1
4436,0,0.0,29,0.0,4.0,9.0,3,2.0,4.0,1
5444,0,0.0,29,0.0,2.0,5.0,3,4.0,4.0,1
5821,1,0.0,29,1.0,5.0,0.0,3,2.0,3.0,1
5987,1,0.0,29,0.0,5.0,0.0,3,4.0,4.0,1
6515,0,0.0,29,1.0,3.0,8.0,3,2.0,6.0,1
6518,0,0.0,29,1.0,9.0,13.0,3,1.0,6.0,1
6677,0,0.0,29,1.0,4.0,1.0,3,1.0,6.0,1
6835,0,0.0,29,0.0,3.0,9.0,3,1.0,2.0,1
7145,1,0.0,29,1.0,1.0,9.0,3,3.0,6.0,1
7705,1,0.0,29,0.0,1.0,0.0,3,5.0,4.0,1
7790,0,0.0,29,0.0,9.0,1.0,3,5.0,4.0,1
7995,1,0.0,29,0.0,3.0,8.0,3,9.0,6.0,1
8003,0,0.0,29,0.0,9.0,0.0,3,4.0,4.0,1
281,1,1.0,29,1.0,8.0,1.0,1,2.0,3.0,1
1389,1,1.0,29,0.0,2.0,1.0,3,4.0,4.0,1
1415,1,1.0,29,0.0,2.0,0.0,2,4.0,6.0,1
1419,0,1.0,29,0.0,4.0,5.0,2,2.0,3.0,1
1668,0,1.0,29,1.0,2.0,0.0,3,2.0,6.0,1
2127,0,1.0,29,1.0,3.0,0.0,2,2.0,6.0,1
2574,1,1.0,29,1.0,2.0,1.0,2,2.0,6.0,1
2669,0,1.0,29,0.0,9.0,1.0,1,3.0,3.0,1
2887,1,1.0,29,1.0,4.0,5.0,3,2.0,4.0,1
3567,0,1.0,29,1.0,9.0,0.0,1,2.0,3.0,1
3605,0,1.0,29,0.0,4.0,0.0,1,4.0,6.0,1
4444,0,1.0,29,1.0,2.0,6.0,2,2.0,6.0,1
5243,1,1.0,29,0.0,5.0,0.0,3,2.0,4.0,1
7018,0,1.0,29,0.0,1.0,0.0,2,2.0,3.0,1
7603,1,1.0,29,1.0,1.0,0.0,3,5.0,4.0,1
135,1,0.0,30,0.0,7.0,5.0,3,5.0,6.0,1
335,0,0.0,30,0.0,2.0,8.0,3,3.0,6.0,1
556,0,0.0,30,0.0,4.0,0.0,3,4.0,4.0,1
632,0,0.0,30,1.0,1.0,0.0,3,3.0,6.0,1
867,1,0.0,30,1.0,8.0,8.0,3,1.0,6.0,1
1162,0,0.0,30,0.0,1.0,7.0,3,1.0,6.0,1
1595,0,0.0,30,1.0,3.0,0.0,3,5.0,2.0,1
1655,0,0.0,30,1.0,1.0,9.0,3,1.0,6.0,1
1927,0,0.0,30,1.0,2.0,9.0,3,5.0,2.0,1
2017,1,0.0,30,1.0,5.0,0.0,3,2.0,3.0,1
2090,0,0.0,30,1.0,2.0,1.0,3,2.0,3.0,1
2268,1,0.0,30,1.0,3.0,8.0,3,4.0,6.0,1
2448,1,0.0,30,1.0,1.0,9.0,3,2.0,6.0,1
2609,0,0.0,30,0.0,9.0,8.0,3,9.0,4.0,1
2868,0,0.0,30,1.0,1.0,0.0,3,5.0,2.0,1
3205,1,0.0,30,0.0,2.0,8.0,3,3.0,6.0,1
3377,0,0.0,30,1.0,1.0,0.0,3,1.0,6.0,1
3559,0,0.0,30,0.0,3.0,0.0,3,3.0,6.0,1
3654,0,0.0,30,0.0,3.0,6.0,3,1.0,6.0,1
3993,0,0.0,30,0.0,4.0,0.0,3,1.0,6.0,1
4071,0,0.0,30,1.0,5.0,0.0,3,3.0,6.0,1
4173,0,0.0,30,1.0,5.0,1.0,3,4.0,2.0,1
4249,0,0.0,30,1.0,5.0,0.0,3,9.0,4.0,1
5066,1,0.0,30,1.0,1.0,8.0,3,1.0,6.0,1
5267,0,0.0,30,1.0,2.0,6.0,3,1.0,3.0,1
5647,0,0.0,30,0.0,4.0,1.0,3,3.0,4.0,1
5657,0,0.0,30,1.0,3.0,1.0,3,4.0,4.0,1
7050,1,0.0,30,1.0,1.0,2.0,3,2.0,6.0,1
7333,0,0.0,30,1.0,1.0,9.0,3,5.0,6.0,1
7512,0,0.0,30,0.0,4.0,1.0,3,5.0,4.0,1
7582,0,0.0,30,1.0,5.0,0.0,3,3.0,3.0,1
7596,1,0.0,30,1.0,1.0,0.0,3,4.0,6.0,1
7628,0,0.0,30,0.0,5.0,3.0,3,4.0,6.0,1
7859,1,0.0,30,1.0,5.0,0.0,3,5.0,2.0,1
7985,1,0.0,30,1.0,1.0,1.0,3,1.0,6.0,1
392,0,1.0,30,1.0,1.0,8.0,3,4.0,6.0,1
429,0,1.0,30,0.0,4.0,1.0,2,7.0,4.0,1
588,1,1.0,30,1.0,2.0,1.0,3,2.0,6.0,1
1184,1,1.0,30,0.0,5.0,11.0,2,2.0,3.0,1
1201,1,1.0,30,1.0,2.0,11.0,3,6.0,6.0,1
1290,1,1.0,30,0.0,1.0,0.0,2,2.0,5.0,1
1866,1,1.0,30,0.0,1.0,9.0,1,6.0,2.0,1
2730,1,1.0,30,0.0,5.0,9.0,2,2.0,4.0,1
3635,0,1.0,30,0.0,4.0,1.0,3,2.0,4.0,1
4247,1,1.0,30,0.0,7.0,5.0,1,4.0,6.0,1
4384,1,1.0,30,0.0,4.0,1.0,2,3.0,4.0,1
5801,1,1.0,30,1.0,3.0,0.0,3,2.0,6.0,1
5810,1,1.0,30,1.0,5.0,8.0,2,2.0,6.0,1
6389,1,1.0,30,1.0,2.0,0.0,3,2.0,6.0,1
6694,1,1.0,30,1.0,2.0,0.0,3,4.0,6.0,1
7288,1,1.0,30,0.0,3.0,1.0,2,3.0,3.0,1
7468,0,1.0,30,0.0,9.0,1.0,2,2.0,3.0,1
7922,0,1.0,30,0.0,3.0,3.0,1,2.0,6.0,1
26,1,0.0,31,0.0,2.0,9.0,3,8.0,4.0,1
179,0,0.0,31,1.0,4.0,8.0,3,1.0,6.0,1
438,1,0.0,31,0.0,3.0,1.0,3,1.0,4.0,1
851,1,0.0,31,0.0,2.0,1.0,3,3.0,4.0,1
907,1,0.0,31,1.0,1.0,1.0,3,6.0,3.0,1
977,1,0.0,31,1.0,5.0,1.0,3,2.0,6.0,1
1055,1,0.0,31,0.0,1.0,1.0,3,2.0,6.0,1
1277,0,0.0,31,1.0,4.0,0.0,3,1.0,4.0,1
1343,1,0.0,31,1.0,1.0,1.0,3,2.0,6.0,1
1384,0,0.0,31,0.0,1.0,1.0,3,4.0,3.0,1
1695,1,0.0,31,1.0,5.0,14.0,3,2.0,7.0,1
1814,0,0.0,31,1.0,2.0,1.0,3,7.0,6.0,1
2298,1,0.0,31,1.0,1.0,7.0,3,1.0,4.0,1
2369,0,0.0,31,0.0,9.0,8.0,3,1.0,6.0,1
2427,0,0.0,31,1.0,5.0,0.0,3,4.0,3.0,1
2675,1,0.0,31,0.0,1.0,3.0,3,2.0,6.0,1
2783,0,0.0,31,0.0,5.0,6.0,3,2.0,3.0,1
3011,0,0.0,31,1.0,3.0,0.0,3,4.0,6.0,1
3079,0,0.0,31,1.0,1.0,0.0,3,1.0,6.0,1
3163,0,0.0,31,1.0,1.0,0.0,3,2.0,6.0,1
3346,0,0.0,31,1.0,2.0,1.0,3,4.0,6.0,1
3688,0,0.0,31,1.0,4.0,1.0,3,4.0,4.0,1
3945,1,0.0,31,1.0,1.0,4.0,3,4.0,6.0,1
3979,0,0.0,31,1.0,1.0,14.0,3,3.0,2.0,1
4241,0,0.0,31,0.0,1.0,0.0,3,2.0,3.0,1
4311,0,0.0,31,1.0,1.0,2.0,3,2.0,6.0,1
4485,1,0.0,31,0.0,2.0,2.0,3,2.0,5.0,1
4754,0,0.0,31,1.0,2.0,9.0,3,3.0,2.0,1
4935,1,0.0,31,1.0,3.0,9.0,3,3.0,5.0,1
5170,1,0.0,31,0.0,5.0,0.0,3,2.0,4.0,1
5502,1,0.0,31,0.0,2.0,2.0,3,5.0,2.0,1
5511,0,0.0,31,0.0,4.0,1.0,3,1.0,3.0,1
5628,0,0.0,31,0.0,2.0,4.0,3,3.0,6.0,1
5670,1,0.0,31,1.0,1.0,9.0,3,1.0,6.0,1
5862,0,0.0,31,0.0,5.0,1.0,3,2.0,6.0,1
5976,1,0.0,31,1.0,5.0,8.0,3,6.0,2.0,1
6627,0,0.0,31,0.0,4.0,1.0,3,8.0,4.0,1
7061,1,0.0,31,1.0,4.0,1.0,3,4.0,2.0,1
