,Пол,Семейное_положение,Возраст,Высшее_образование,Профессия,Опыт_работы,Уровень_расходов,Размер_семьи,Анонимная_категория,Целевая_категория
216,0,1.0,52,1.0,5.0,0.0,2,2.0,6.0,3
217,1,1.0,25,0.0,5.0,,2,2.0,4.0,2
218,1,1.0,56,0.0,7.0,,1,2.0,6.0,1
219,1,0.0,62,1.0,,0.0,3,1.0,6.0,1
220,0,0.0,35,,1.0,0.0,3,3.0,6.0,2
221,1,1.0,28,1.0,4.0,0.0,2,2.0,6.0,1
222,0,0.0,28,1.0,1.0,7.0,3,3.0,6.0,1
223,1,0.0,20,0.0,2.0,0.0,3,5.0,7.0,4
224,0,0.0,27,0.0,9.0,8.0,3,1.0,3.0,4
225,0,0.0,56,0.0,4.0,,3,1.0,6.0,1
226,1,1.0,45,1.0,1.0,4.0,2,4.0,6.0,2
227,1,0.0,25,1.0,2.0,1.0,3,4.0,4.0,2
228,1,0.0,40,0.0,8.0,1.0,3,1.0,4.0,4
229,0,1.0,25,1.0,2.0,,3,2.0,6.0,4
230,0,1.0,74,0.0,6.0,,1,2.0,6.0,4
231,0,0.0,23,0.0,2.0,0.0,3,4.0,,4
232,0,1.0,67,1.0,6.0,0.0,1,2.0,6.0,2
233,1,0.0,21,0.0,2.0,0.0,3,4.0,,4
234,0,0.0,38,1.0,1.0,9.0,3,1.0,3.0,1
235,1,0.0,28,0.0,2.0,0.0,3,4.0,2.0,3
236,0,0.0,32,0.0,2.0,1.0,3,5.0,7.0,2
237,0,0.0,33,1.0,,0.0,3,4.0,,4
238,0,1.0,56,0.0,6.0,1.0,1,4.0,4.0,2
239,0,1.0,53,1.0,1.0,1.0,3,2.0,6.0,3
240,1,1.0,57,0.0,7.0,1.0,1,5.0,6.0,3
241,0,1.0,59,1.0,1.0,0.0,2,3.0,6.0,3
242,0,1.0,25,1.0,2.0,1.0,1,4.0,4.0,1
243,1,1.0,59,1.0,1.0,0.0,2,6.0,6.0,3
244,0,1.0,36,1.0,1.0,0.0,3,4.0,6.0,3
245,1,1.0,37,1.0,3.0,7.0,3,2.0,6.0,1
246,1,0.0,22,0.0,5.0,1.0,3,3.0,2.0,4
247,1,1.0,43,1.0,1.0,1.0,3,2.0,6.0,2
248,1,1.0,41,1.0,1.0,1.0,3,2.0,4.0,1
249,0,0.0,21,0.0,4.0,0.0,3,5.0,2.0,2
250,0,0.0,49,0.0,4.0,1.0,3,,7.0,1
251,1,0.0,38,1.0,5.0,8.0,3,1.0,2.0,2
252,1,1.0,47,0.0,1.0,,2,4.0,6.0,1
253,1,1.0,70,1.0,6.0,1.0,1,3.0,6.0,3
254,0,0.0,31,0.0,4.0,1.0,3,4.0,6.0,2
255,0,1.0,82,0.0,6.0,0.0,2,2.0,6.0,1
256,0,1.0,51,0.0,7.0,,3,1.0,6.0,1
257,0,0.0,42,0.0,9.0,11.0,3,,6.0,1
258,1,0.0,38,1.0,1.0,8.0,3,3.0,2.0,1
259,1,1.0,18,0.0,7.0,0.0,1,4.0,6.0,1
260,1,1.0,50,1.0,1.0,6.0,2,3.0,6.0,3
261,0,0.0,46,1.0,5.0,1.0,3,,3.0,1
262,0,1.0,72,0.0,6.0,1.0,1,3.0,6.0,4
263,0,0.0,33,0.0,4.0,,3,4.0,6.0,3
264,0,0.0,25,0.0,9.0,1.0,3,7.0,4.0,2
265,0,1.0,75,0.0,3.0,2.0,1,2.0,2.0,4
266,1,0.0,72,1.0,1.0,1.0,3,1.0,6.0,2
267,0,1.0,72,1.0,1.0,0.0,2,3.0,4.0,3
268,1,1.0,36,1.0,3.0,6.0,3,6.0,4.0,1
269,1,1.0,40,1.0,1.0,1.0,3,2.0,6.0,1
270,0,0.0,28,1.0,3.0,0.0,3,4.0,6.0,3
271,0,0.0,28,1.0,5.0,0.0,3,3.0,6.0,4
272,1,,19,0.0,3.0,0.0,1,3.0,4.0,4
273,1,1.0,43,1.0,1.0,0.0,3,2.0,4.0,2
274,0,1.0,35,1.0,1.0,1.0,2,2.0,6.0,2
275,1,1.0,65,1.0,6.0,1.0,1,2.0,6.0,2
276,1,1.0,52,1.0,7.0,7.0,1,4.0,4.0,3
277,0,0.0,40,1.0,1.0,1.0,3,1.0,6.0,2
278,0,1.0,69,0.0,4.0,9.0,3,3.0,6.0,1
279,0,0.0,22,0.0,2.0,3.0,3,3.0,6.0,4
280,1,1.0,47,1.0,7.0,1.0,2,4.0,6.0,3
281,1,1.0,29,1.0,8.0,1.0,1,2.0,3.0,1
282,1,1.0,46,1.0,1.0,1.0,2,3.0,3.0,3
283,1,0.0,32,1.0,1.0,1.0,3,2.0,6.0,1
284,0,0.0,38,1.0,2.0,0.0,3,1.0,2.0,3
285,1,1.0,59,1.0,1.0,0.0,3,1.0,6.0,2
286,0,0.0,26,1.0,3.0,1.0,3,1.0,6.0,4
287,1,0.0,26,1.0,2.0,1.0,3,2.0,3.0,1
288,1,0.0,28,0.0,8.0,0.0,3,1.0,3.0,4
289,0,1.0,53,1.0,4.0,1.0,2,3.0,6.0,3
290,0,0.0,43,,3.0,,3,1.0,6.0,2
291,1,0.0,27,0.0,5.0,1.0,3,3.0,6.0,4
292,0,0.0,32,0.0,1.0,,3,8.0,6.0,3
293,1,0.0,26,0.0,4.0,0.0,3,4.0,4.0,4
294,0,0.0,31,0.0,3.0,0.0,3,2.0,6.0,4
295,1,1.0,39,1.0,7.0,1.0,1,3.0,3.0,2
296,0,1.0,43,0.0,4.0,1.0,3,3.0,7.0,1
297,1,1.0,25,0.0,5.0,1.0,3,2.0,1.0,1
298,1,1.0,40,1.0,1.0,3.0,1,3.0,6.0,1
299,0,1.0,40,1.0,3.0,7.0,2,2.0,3.0,2
300,1,1.0,63,1.0,3.0,,2,3.0,6.0,3
301,0,1.0,27,1.0,2.0,,3,2.0,6.0,4
302,1,0.0,27,1.0,2.0,1.0,3,3.0,6.0,4
303,0,0.0,19,0.0,2.0,1.0,3,2.0,6.0,4
304,0,1.0,86,1.0,6.0,0.0,1,2.0,6.0,2
305,1,1.0,41,1.0,8.0,,1,2.0,6.0,2
306,0,1.0,27,1.0,1.0,4.0,2,2.0,3.0,3
307,0,1.0,70,0.0,5.0,0.0,2,2.0,6.0,2
308,0,1.0,53,0.0,4.0,8.0,2,4.0,4.0,2
309,0,1.0,49,0.0,4.0,,2,4.0,4.0,2
310,1,1.0,55,0.0,7.0,3.0,3,,4.0,4
311,0,,57,1.0,4.0,0.0,2,4.0,2.0,3
312,1,1.0,83,0.0,6.0,,3,1.0,4.0,2
313,1,1.0,43,0.0,7.0,0.0,1,4.0,6.0,1
314,1,1.0,36,0.0,5.0,6.0,3,3.0,6.0,1
315,1,1.0,74,1.0,6.0,0.0,3,2.0,6.0,3
316,0,0.0,30,0.0,9.0,0.0,3,4.0,6.0,4
317,0,0.0,37,1.0,1.0,5.0,3,2.0,6.0,2
318,0,0.0,22,0.0,8.0,0.0,3,1.0,5.0,2
319,1,0.0,19,0.0,2.0,0.0,3,4.0,6.0,4
320,1,1.0,70,1.0,4.0,4.0,1,2.0,6.0,2
321,1,1.0,89,1.0,6.0,13.0,3,1.0,6.0,1
322,1,0.0,18,0.0,2.0,,3,4.0,6.0,4
323,1,0.0,25,1.0,5.0,6.0,3,1.0,2.0,4
324,0,0.0,45,1.0,1.0,4.0,3,1.0,3.0,1
325,0,0.0,35,1.0,1.0,3.0,3,1.0,4.0,1
326,0,1.0,37,0.0,4.0,7.0,3,1.0,4.0,4
327,0,1.0,39,0.0,4.0,4.0,2,2.0,6.0,2
328,0,0.0,32,1.0,2.0,1.0,3,5.0,4.0,4
329,0,1.0,62,1.0,1.0,2.0,2,3.0,6.0,3
330,0,1.0,58,1.0,4.0,0.0,2,4.0,4.0,2
331,0,0.0,32,0.0,4.0,,3,4.0,6.0,3
332,1,0.0,25,0.0,2.0,0.0,3,5.0,6.0,3
333,0,1.0,56,1.0,1.0,0.0,2,4.0,6.0,3
334,0,0.0,36,1.0,3.0,10.0,3,2.0,6.0,1
335,0,0.0,30,0.0,2.0,8.0,3,3.0,6.0,1
336,1,0.0,19,0.0,2.0,1.0,3,5.0,6.0,4
337,1,0.0,27,1.0,2.0,0.0,3,2.0,6.0,1
338,0,0.0,38,1.0,5.0,14.0,3,1.0,6.0,1
339,1,1.0,46,1.0,1.0,8.0,2,2.0,6.0,3
340,1,0.0,29,1.0,1.0,3.0,3,1.0,6.0,2
341,1,1.0,51,0.0,3.0,1.0,2,4.0,7.0,2
342,1,1.0,55,0.0,1.0,0.0,3,1.0,6.0,1
343,0,1.0,69,1.0,4.0,1.0,3,1.0,3.0,1
344,0,0.0,26,0.0,2.0,1.0,3,8.0,7.0,3
345,0,1.0,83,1.0,6.0,0.0,3,3.0,6.0,1
346,0,0.0,39,1.0,2.0,9.0,3,1.0,6.0,4
347,1,1.0,35,1.0,1.0,9.0,3,1.0,6.0,1
348,1,1.0,19,0.0,8.0,2.0,1,5.0,6.0,3
349,0,1.0,60,1.0,1.0,,1,4.0,6.0,3
350,1,1.0,35,1.0,1.0,,2,4.0,6.0,3
351,0,0.0,53,1.0,4.0,,3,1.0,6.0,2
352,0,1.0,86,0.0,6.0,,3,,6.0,2
353,0,0.0,29,0.0,2.0,1.0,3,3.0,6.0,2
354,0,0.0,26,0.0,5.0,0.0,3,1.0,6.0,4
355,1,0.0,36,1.0,4.0,8.0,3,1.0,6.0,1
356,0,0.0,22,0.0,9.0,0.0,3,4.0,6.0,4
357,1,0.0,19,0.0,8.0,0.0,3,5.0,6.0,1
358,0,1.0,20,1.0,6.0,1.0,2,3.0,3.0,1
359,1,0.0,43,1.0,2.0,3.0,3,3.0,6.0,4
360,0,0.0,42,1.0,1.0,,3,3.0,6.0,1
361,1,0.0,43,1.0,3.0,1.0,3,2.0,4.0,1
362,0,1.0,50,1.0,4.0,4.0,1,3.0,6.0,2
363,1,0.0,25,1.0,3.0,1.0,3,2.0,6.0,1
364,1,1.0,61,0.0,1.0,1.0,1,2.0,6.0,2
365,0,1.0,28,1.0,2.0,0.0,2,2.0,6.0,1
366,1,0.0,38,1.0,1.0,1.0,3,1.0,6.0,4
367,1,0.0,25,0.0,7.0,12.0,3,3.0,6.0,1
368,0,0.0,18,0.0,2.0,9.0,3,5.0,4.0,4
369,1,1.0,43,1.0,3.0,1.0,2,5.0,5.0,3
370,0,0.0,27,1.0,1.0,8.0,3,1.0,6.0,2
371,0,0.0,60,1.0,3.0,1.0,3,2.0,6.0,4
372,1,1.0,75,1.0,6.0,2.0,3,1.0,6.0,4
373,0,0.0,31,0.0,5.0,,3,4.0,6.0,4
374,1,0.0,23,0.0,5.0,6.0,3,4.0,2.0,4
375,1,0.0,36,1.0,1.0,8.0,3,1.0,6.0,1
376,1,0.0,30,0.0,5.0,1.0,3,1.0,3.0,3
377,1,1.0,56,0.0,1.0,1.0,2,2.0,6.0,3
378,0,1.0,52,1.0,1.0,2.0,3,2.0,6.0,3
379,1,1.0,39,1.0,3.0,0.0,3,1.0,6.0,4
380,0,0.0,35,0.0,1.0,5.0,3,1.0,6.0,1
381,1,1.0,33,0.0,4.0,0.0,2,2.0,6.0,2
382,0,0.0,25,1.0,1.0,0.0,3,6.0,6.0,1
383,0,1.0,27,1.0,1.0,0.0,2,2.0,4.0,2
384,1,1.0,35,1.0,1.0,1.0,1,3.0,6.0,1
385,0,1.0,41,1.0,1.0,1.0,2,2.0,6.0,3
386,0,1.0,49,1.0,1.0,,2,3.0,7.0,3
387,0,1.0,46,0.0,1.0,8.0,2,2.0,6.0,2
388,0,0.0,31,0.0,2.0,,3,2.0,6.0,4
389,1,0.0,49,1.0,5.0,,3,1.0,6.0,3
390,0,0.0,26,1.0,1.0,9.0,3,1.0,6.0,1
391,1,1.0,43,1.0,5.0,13.0,1,2.0,6.0,2
392,0,1.0,30,1.0,1.0,8.0,3,4.0,6.0,1
393,0,1.0,70,1.0,1.0,1.0,2,4.0,6.0,3
394,0,0.0,28,1.0,1.0,,3,1.0,6.0,4
395,0,1.0,89,0.0,6.0,3.0,1,1.0,6.0,4
396,0,1.0,42,0.0,9.0,6.0,1,4.0,6.0,2
397,0,1.0,37,1.0,3.0,6.0,2,3.0,4.0,1
398,1,1.0,29,0.0,7.0,1.0,2,3.0,6.0,4
399,0,1.0,68,1.0,1.0,1.0,1,2.0,6.0,3
400,0,0.0,25,0.0,4.0,1.0,3,1.0,4.0,4
401,1,0.0,29,0.0,2.0,1.0,3,,6.0,4
402,0,1.0,48,1.0,5.0,0.0,3,2.0,6.0,3
403,0,1.0,51,1.0,5.0,1.0,2,3.0,1.0,3
404,0,1.0,40,1.0,4.0,1.0,1,5.0,2.0,2
405,1,1.0,47,1.0,1.0,0.0,2,6.0,7.0,2
406,1,1.0,39,1.0,7.0,,1,3.0,6.0,2
407,1,1.0,35,1.0,7.0,1.0,2,4.0,6.0,3
408,0,0.0,19,0.0,2.0,2.0,3,3.0,6.0,4
409,0,0.0,21,0.0,2.0,7.0,3,,6.0,4
410,1,1.0,46,1.0,3.0,0.0,2,3.0,4.0,2
411,1,1.0,86,1.0,6.0,0.0,3,1.0,6.0,2
412,1,1.0,66,1.0,1.0,0.0,1,2.0,6.0,2
413,1,0.0,42,0.0,8.0,1.0,3,5.0,4.0,4
